Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,,,,,,,,
,大阪上本町,松阪,津新町,鳥羽,富吉,宇治山田,中川,大阪上本町,松阪,津新町,宇治山田,中川,中川,,,,,
,5,3,1,5,2,3,1,5,3,1,5,3,1,,,,,
21,特急,急行,特急,普通,急行,特急,普通,急行,特急,普通,,,,,,,,
,0,4,10,11,21,30,31,41,45,51,,,,,,,,
,大阪上本町,松阪,鳥羽,津新町,宇治山田,大阪上本町,白塚,中川,宇治山田,中川,,,,,,,,
,5,3,5,1,3,5,1,3,5,1,,,,,,,,
22,特急,急行,普通,急行,普通,準急,特急,急行,普通,,,,,,,,,
,5,6,12,24,32,40,45,52,55,,,,,,,,,
,宇治山田,中川,津新町,中川,富吉,四日市,松阪,中川,白塚,,,,,,,,,
,5,3,1,3,1,2,4,3,1,,,,,,,,,
23,特急,普通,準急,普通,準急,普通,,,,,,,,,,,,
,10,11,18,29,40,45,,,,,,,,,,,,
,津,桑名,富吉,富吉,四日市,富吉,,,,,,,,,,,,
,5,1,3,1,2,1,,,,,,,,,,,,
0,普通,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,
,富吉,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,
